date,station_name,latitude,longitude,pm25,pm10,no2,so2,o3,co,aqi,category,dominant_pollutant
2024-11-01,BTM Layout,12.9166,77.6101,65.2,98.7,45.8,12.3,38.7,1.2,154,Unhealthy,PM2.5
2024-11-01,Hebbal,13.0349,77.597,42.1,71.5,38.6,8.7,42.1,0.8,112,Unhealthy for Sensitive Groups,PM2.5
2024-11-01,Silk Board,12.9171,77.6226,78.4,118.2,56.3,15.8,35.2,1.8,178,Unhealthy,PM10
2024-11-01,Electronic City,12.844,77.6608,38.9,62.6,32.1,7.5,39.8,0.7,105,Unhealthy for Sensitive Groups,PM2.5
2024-11-01,Peenya Industrial,13.0312,77.5215,52.4,85.3,47.2,19.6,33.5,1.5,136,Unhealthy for Sensitive Groups,PM10
2024-11-01,City Railway Station,12.9782,77.5742,68.7,102.4,58.9,14.2,36.9,1.6,158,Unhealthy,PM2.5
2024-11-01,Jayanagar,12.93,77.5833,46.8,75.6,42.3,9.1,40.5,0.9,116,Unhealthy for Sensitive Groups,PM2.5
2024-11-15,BTM Layout,12.9166,77.6101,72.6,112.3,48.7,14.8,41.2,1.4,168,Unhealthy,PM2.5
2024-11-15,Hebbal,13.0349,77.597,54.2,89.7,42.3,10.5,44.6,1.1,142,Unhealthy for Sensitive Groups,PM2.5
2024-11-15,Silk Board,12.9171,77.6226,85.1,128.4,61.2,17.6,37.9,2.0,185,Unhealthy,PM10
2024-11-15,Electronic City,12.844,77.6608,48.5,78.2,35.8,9.3,42.7,0.9,125,Unhealthy for Sensitive Groups,PM2.5
2024-11-15,Peenya Industrial,13.0312,77.5215,61.8,97.5,52.4,22.3,35.6,1.7,148,Unhealthy for Sensitive Groups,PM10
2024-11-15,City Railway Station,12.9782,77.5742,76.3,115.6,62.7,16.5,38.4,1.8,172,Unhealthy,PM2.5
2024-11-15,Jayanagar,12.93,77.5833,58.9,91.4,45.6,11.2,43.8,1.2,145,Unhealthy for Sensitive Groups,PM2.5
2024-12-01,BTM Layout,12.9166,77.6101,88.5,128.9,52.6,17.3,43.8,1.7,184,Unhealthy,PM2.5
2024-12-01,Hebbal,13.0349,77.597,65.8,102.3,46.5,13.2,47.2,1.4,158,Unhealthy,PM2.5
2024-12-01,Silk Board,12.9171,77.6226,98.6,142.7,65.8,19.5,40.3,2.3,201,Very Unhealthy,PM10
